id	generation	major_rev	owned_by_id	name	item_number	classification	description
8280D575FED242A89F2B763E5C3496C1	4	A	DBA5D86402BF43D5976854B8B48FCDD1	Acrylic Cover	MP2936	Assembly	
83890B1872744031BBB8EC2DBC37D5C6	2	E	DBA5D86402BF43D5976854B8B48FCDD1	Makerbot MightyBoard	MP2729	Assembly	
868620A39D094D578B23918F84C67F9E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Pulley 5mm shaft composite material	MP1873	Component	
871F66D5D20444F283015F23F97AF229	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Connector 2x6	MP3733	Component	1.27 mm pin female header
87F30D74CE024841A602B654DB87730A	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Relay	MP3949	Component	Solid State
88496F679E334C7AA26685B07F0D4BBF	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3X35 Socket Cap Bolt	MP0370-009	Component	
88E395B9E4DE40D5B531DD3551AFA76E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	#4 Washer non-oxide Finish	MP2780	Component	
89B9E2213D3B400BAEB45C31C8C84543	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Nylon Spacer with Flange	MP2759	Component	
8C4BC52979C4441DB58B7268AB4FF79D	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Connector 24V	MP3109	Component	KPJX Series Snap and Lock PCB
8CA5994A5DF84E8C8847433AE34DBA91	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor .499K	MP3129	Component	Thick Film Chip Resistors MCR Series - Automotive -
8DD5C62F7ECF42A7BD9447A09210F7A8	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Build Platform Leveling Springs Stainless Steel	MP2488	Component	
8E0DDE8AEBAD46E7BBF0BAFECFF12C0B	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Powerswitch	MP3065	Component	Blue LED illuminated rocker switch 10A at 125VAC
8E26F2709346433798969AE85A14BF25	2	B	DBA5D86402BF43D5976854B8B48FCDD1	Electronics	MP2952	Assembly	
92F838B911A249809DAC9633CFCABA0C	1	E	DBA5D86402BF43D5976854B8B48FCDD1	Botstep 17 - bare board	MP3876	Component	
93439C790F254876A0C28828F4D7647B	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Aluminum Heat Spreader	MP2339	Component	
E8DEE8E0C85242D683AB65FFEFE67F33	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Replicator Aluminum Heat Spreader	MP2360	Component	
94231BB5B5B244CD91485F7F3F1DC667	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 33K	MP3509	Component	Resistor SMT 33K 1% 1/16W
951B2EBD9D544AD79BDD1A0603FAA4A3	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Cover Back	MP2946	Component	
98DED6CDC1924D738BDBE9EA3B7D56F6	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 1-2 in length .14in ID .25in OD	MP2660	Component	
9984D6FD199046A59C5B1D62D0569B55	1	B	DBA5D86402BF43D5976854B8B48FCDD1	M3x45 Socket Cap Bolt	MP1947	Component	
99BC12E7341C440DBE5F5F038ACF9007	1	A	DBA5D86402BF43D5976854B8B48FCDD1	#4 Washer Black Oxide Finish	MP2680	Component	
9AB89501B68743078B4BEDA5968D264B	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor .022K	MP3852	Component	High Power Chip Resistors - Wide Terminal type LTR Series
9B9C1A8A78BE478DBF0E2F8AE6C949FC	1	B	DBA5D86402BF43D5976854B8B48FCDD1	O Ring Spacer 1.5mm thickness 3.5mm ID 6.5mm OD	MP2671	Component	
